Number,Date,Payee,Payment,Deposit,Memo,Category,Unknown,
,14/02/2005 00:00:00,Especes,100.00,,SG,Retrait d especes,X
,16/02/2005 00:00:00,Cadeau,19.99,,Celio,Cadeaux,X
,17/02/2005 00:00:00,EDF,61.00,,,Factures:Electricite,X
,17/02/2005 00:00:00,prets locaux,35.00,,,Impots:Impots locaux,X
,17/02/2005 00:00:00,Depot,,150.00,,Depot,X
,17/02/2005 00:00:00,Leclerc,193.23,,,Alimentation,X
,17/02/2005 00:00:00,Especes,40.00,,bnp,Retrait d especes,X
,18/02/2005 00:00:00,Righi,26.80,,,Alimentation,X
,18/02/2005 00:00:00,Vetements,35.70,,Pimkie,Habillement,X
,18/02/2005 00:00:00,APGIS,,23.94,,Remb Sante,X
,18/02/2005 00:00:00,Couzin,40.00,,,Sante:Medecin,X
,19/02/2005 00:00:00,piscine,34.50,,,Logement:Services d entretien,X
,20/02/2005 00:00:00,Bnp,750.00,,Cascade,Virmt vers un compte supprime,X
,20/02/2005 00:00:00,Leclerc,36.06,,,Alimentation,X
,21/02/2005 00:00:00,Rouhette,50.00,,,Sante:Medecin,X
,21/02/2005 00:00:00,Leclerc,65.71,,,Alimentation,X
,22/02/2005 00:00:00,Restau,50.00,,Amadeus,Restaurant,X
,22/02/2005 00:00:00,Especes,100.00,,,Retrait d especes,X
,23/02/2005 00:00:00,CPAM,,8.19,,Remb Sante,X
,23/02/2005 00:00:00,CPAM,,13.00,,Remb Sante,X
,23/02/2005 00:00:00,CPAM,,13.00,,Remb Sante,X
,23/02/2005 00:00:00,RSI,,2597.64,,Traitements et salaires:Salaire net,X
,24/02/2005 00:00:00,Opticien,159.00,,,Sante:Oculiste,X
,24/02/2005 00:00:00,France Telecom,26.91,,,Factures:Telephone,X
,24/02/2005 00:00:00,CPAM,,15.10,,Remb Sante,X
,24/02/2005 00:00:00,Baudry,120.00,,,Logement:Menage,X
,24/02/2005 00:00:00,Duniau,40.00,,,Enfants:Etudes,X
,25/02/2005 00:00:00,APGIS,,9.58,,Remb Sante,X
,25/02/2005 00:00:00,Unilog,,2685.94,,Traitements et salaires:Salaire net,X
,25/02/2005 00:00:00,Leclerc,124.54,,,Alimentation,X
,26/02/2005 00:00:00,Galeries Lafayette,28.90,,,Habillement,X
